max_number;door_length;wall_length;area;nb_door;nb_wall;cooling;heating
487;727;3294;8800;9;34;87270;69400
423;285;1768;8800;9;37;89026;72544
432;283;1804;8800;7;15;87716;69344
412;537;2313;8800;10;18;88122;70545
418;344;1904;8980;10;37;87729;69468
417;259;1626;8980;8;34;88803;70712
672;745;2766;9000;11;33;88746;71387
379;504;2576;9000;10;35;88834;70486
233;173;1018;9000;7;26;88643;70970
356;288;1434;9000;9;33;89138;70196
624;1266;3853;9000;14;34;88715;71387
1238;711;4653;9000;6;30;89438;71697
1230;699;5026;9000;7;32;89060;71319
390;471;2092;9000;11;28;88812;70531
385;397;1633;9000;11;33;90313;72607
967;1381;6536;9000;9;29;89071;71114
376;620;2391;9000;11;27;89864;71263
397;524;1579;9000;13;24;90007;71677
362;306;1455;9000;9;32;89957;71596
1363;1242;5330;9000;9;32;89972;72043
1371;783;5052;9000;6;27;89791;71156
232;221;1143;9000;8;27;90318;72632
1200;516;4270;9000;6;26;92502;74423
392;316;1877;9000;8;29;91124;72796
599;596;2983;9000;9;30;90339;71591
1896;2009;10122;9000;9;31;91547;72381
559;1072;3607;9000;13;32;92247;73662
443;524;2416;9000;10;30;91137;72212
421;603;2191;9000;10;33;91184;72838
632;992;4187;9000;11;33;91292;73262
341;425;1883;9000;11;32;91404;73838
1194;1982;7163;9000;9;32;92658;73633
633;405;2770;9000;8;32;91255;72406
500;278;2706;9000;5;37;92161;73811
401;618;2511;9000;11;35;92722;74297
1160;622;4625;9000;5;26;92282;72986
414;738;2537;9000;13;36;92594;73283
547;377;2274;9000;8;30;92668;72823
319;154;1245;9000;7;36;91885;73796
1180;567;4303;9000;5;32;92473;73034
441;634;2015;9000;11;27;93368;75749
389;680;2201;9000;13;28;92713;72444
347;550;2055;9000;12;30;93134;74433
411;282;1776;9000;7;26;93234;74547
354;264;1733;9000;7;34;93688;74507
344;529;1490;9000;13;33;92260;73205
851;487;5126;9000;7;36;92800;75591
675;690;3382;9000;10;40;93208;73704
362;640;2104;9000;13;30;92616;73970
330;326;1465;9000;9;30;92379;73806
401;619;2407;9000;10;33;93595;75934
727;1096;3804;9000;14;28;92811;73883
571;573;2541;9000;13;43;93299;75139
393;253;2055;9000;7;31;93334;74384
390;256;1400;9000;7;27;94245;74710
496;540;2141;9000;10;27;94463;75168
393;600;2032;9000;13;34;94940;74629
517;745;2777;9000;13;32;95403;77951
591;594;3092;9000;10;34;94519;74436
474;483;2566;9000;10;32;94957;74829
423;542;2058;9000;13;31;93867;74215
410;372;2105;9000;9;37;94975;75173
