max_number;door_length;wall_length;area;nb_door;nb_wall;cooling;heating
472;687;4682;18000;18;67;1592661;10992
376;685;2545;13000;16;41;301777;2211
475;723;3071;12000;13;44;183652;1389
421;340;2119;8000;7;30;76593;621
348;536;1772;10000;10;35;113468;887
366;234;1707;12000;8;36;185380;1409
485;586;2848;14000;11;53;421255;3037
350;126;1210;4000;3;14;36720;333
349;178;1234;6000;6;23;52745;444
272;268;1270;4000;6;19;37367;332
480;856;2889;17000;18;43;1080693;7575
347;311;2969;20000;10;74;1586241;10926
996;1232;6027;14000;15;53;434076;3129
878;654;4739;10000;8;37;111264;868
480;856;2889;14000;18;43;399261;2883
372;645;2616;14000;15;45;417540;3018
362;316;1363;8000;6;30;80319;648
1066;855;3838;3000;6;13;26161;242
557;643;2687;9000;11;33;93846;754
1350;1546;8201;11000;9;40;136460;1042
610;399;2596;8000;8;28;75281;613
449;808;3195;16000;18;52;730684;5132
394;345;1579;7000;9;26;63022;519
527;679;3303;13000;14;48;319533;2331
347;311;2969;20000;10;74;1586241;10926
385;268;1463;5980;7;22;55324;477
363;562;2529;11000;12;42;138064;1064
557;1091;4024;17000;20;57;1142864;8054
200;135;970;4000;5;15;36273;330
397;452;1894;9000;11;32;93919;748
612;454;2419;7000;8;25;64777;534
491;519;3558;13000;12;55;332505;2425
613;314;2048;5000;5;18;44966;391
633;309;2793;12000;7;42;195225;1466
371;624;2309;11000;14;38;141347;1098
605;638;3142;9000;9;33;93769;749
533;749;3328;11000;12;41;140871;1096
404;230;1501;8000;8;27;77170;628
395;289;1828;7980;9;35;70564;574
347;148;1119;3000;4;10;26375;256
458;417;2492;12000;11;50;190412;1437
430;418;1975;12000;10;39;192563;1445
468;168;1355;4000;4;16;38108;338
1323;861;5078;7000;6;24;61667;518
427;250;1719;10000;9;34;112941;886
471;405;2927;8000;8;38;74829;607
401;478;1981;12000;15;41;185913;1399
461;176;1810;8000;5;33;76608;623
341;229;1178;4000;5;21;37220;329
398;658;2797;14000;22;48;402895;2920
449;582;2670;13000;14;49;342974;2492
1208;910;4813;8000;9;30;75538;631
402;583;2853;10980;14;41;124030;970
400;486;3112;11000;12;44;133975;1034
605;638;3142;12000;9;33;186267;1422
303;535;2436;13940;17;50;428222;3103
397;298;1579;8000;9;27;78805;636
281;356;1839;7000;8;25;64638;531
314;346;1717;6000;7;21;51871;438
603;354;2971;7000;5;23;64897;533
369;75;1299;4000;3;19;36674;333
376;175;1307;5000;5;16;44023;380
493;441;2692;11000;11;43;135000;1033
421;255;789;4000;6;12;38314;342
493;662;2893;9000;9;30;93880;748
468;637;3367;14000;12;53;435427;3130
477;338;2077;10000;9;32;114285;890
374;377;1882;9000;10;31;94195;750
584;1002;3842;14000;16;52;435887;3164
631;540;2940;15000;12;53;527921;3774
1365;989;5269;9000;8;34;91990;737
370;529;2298;8980;13;35;89433;717
1548;894;10849;12000;6;38;200423;1503
590;750;3451;12000;6;37;201381;1513
506;639;2480;10000;12;32;114061;893
683;672;2550;6000;7;19;53736;460
541;628;3281;12000;14;45;196162;1479
287;275;1272;9000;9;30;92719;736
1899;2812;10877;7000;10;24;64642;545
398;59;1041;2000;2;11;20289;198
1548;894;11439;5000;6;38;44614;380
711;315;2789;8000;4;25;76744;624
386;644;2430;15000;18;48;516477;3714
580;872;4231;18000;15;51;1541075;10601
456;628;2609;8000;9;26;79049;634
418;381;1796;6000;7;20;53055;448
623;469;3111;7000;6;27;64448;530
464;483;2614;11000;11;40;133675;1033
471;390;1723;7000;7;22;65987;553
436;426;1859;9000;9;33;95587;760
1192;953;4376;6000;10;23;53217;452
427;517;2206;10000;10;32;112515;876
316;337;1573;9000;11;31;92840;741
231;314;1250;10960;12;35;126328;979
499;818;3449;8000;12;28;76301;619
490;571;2775;15000;13;55;522897;3740
384;745;2454;10000;13;35;114073;887
493;441;2692;11000;11;43;135000;1033
1887;435;6194;4000;3;14;38627;344
261;258;1259;6000;6;21;52150;437
373;492;1951;7000;8;24;62966;521
469;322;1981;9000;9;30;94996;752
846;1041;5233;9000;11;30;93832;754
602;921;3824;12000;14;39;194052;1456
624;241;2098;5000;4;20;45354;395
400;486;3112;11000;12;44;133975;1034
828;1027;5872;13000;13;41;278796;2048
1053;1405;4535;8000;10;29;76007;623
982;649;4446;6000;6;24;52928;443
1870;3320;11280;13000;13;38;291280;2140
623;939;4246;15000;15;54;516528;3705
492;504;2565;12000;11;47;188281;1422
474;558;2576;15000;13;45;520112;3724
1894;960;8028;7000;4;31;63599;541
398;424;2218;13000;11;47;318942;2319
491;502;3157;12000;11;51;189005;1423
329;522;2044;13000;14;42;328117;2391
513;271;2090;7000;5;28;64570;534
421;557;2496;9000;11;34;93070;745
521;696;3308;8000;11;31;76037;614
434;643;3302;16000;15;55;737254;5176
452;537;2569;10000;11;37;117163;912
495;688;2730;9000;12;32;95814;762
403;379;1980;13000;14;45;315822;2305
619;1138;3619;13000;22;44;262557;1941
472;778;2893;11000;15;39;140398;1075
361;404;2231;9000;8;31;94652;753
1295;531;4649;8000;5;29;79864;643
419;492;2487;18000;12;47;1441678;9937
414;669;2597;12000;16;38;191781;1442
619;436;1634;4000;6;21;38268;338
372;621;2252;13000;14;39;327443;2382
366;51;220;1000;1;4;14798;148
